#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
200.0,2355,1585.097643
185.0,1901,1586.623044
135.0,2305,1588.454369
155.0,1931,1590.01047
185.0,1913,1591.513968
160.0,1647,1592.809652
450.0,2805,1595.060495
230.0,2181,1596.786772
335.0,3103,1599.251928
105.0,1533,1600.477448
240.0,2701,1602.642906
310.0,2431,1604.579942
375.0,2719,1606.756788
470.0,2879,1609.045116
255.0,2435,1610.996431
245.0,2309,1612.814315
205.0,2363,1614.693037
90.0,1213,1615.661766
95.0,1329,1616.731485
125.0,1719,1618.089442
190.0,2173,1619.826361
145.0,1923,1621.385395
370.0,3203,1623.910841
150.0,1895,1625.431078
475.0,3663,1628.338323
70.0,1489,1629.533451
155.0,2033,1631.157278
135.0,1741,1632.537755
70.0,1575,1633.795579
295.0,3129,1636.29948
170.0,1661,1637.630558
535.0,2759,1639.839839
265.0,2585,1641.994675
30.0,1041,1642.846758
165.0,2031,1644.565742
240.0,2073,1646.273883
105.0,1305,1647.61029
300.0,2739,1649.945624
195.0,3257,1659.576732
190.0,1933,1661.291184
185.0,2111,1663.08838
80.0,1637,1664.42766
130.0,2261,1666.350112
90.0,1387,1667.491348
435.0,3133,1670.106575
160.0,2107,1672.047421
155.0,2035,1673.848093
170.0,2051,1675.603997
320.0,3373,1678.476835
235.0,1519,1679.759201
395.0,3725,1682.902777
110.0,2243,1684.808181
115.0,1151,1685.765531
390.0,2460,1687.851925
260.0,2493,1689.973008
320.0,2583,1692.161538
215.0,2569,1694.365921
265.0,2797,1696.747199
360.0,2794,1699.123218
90.0,1411,1700.337558
370.0,2133,1702.143882
300.0,2794,1704.521345
290.0,2513,1706.628798
365.0,2745,1708.977017
215.0,1897,1710.616573
245.0,2339,1712.619619
340.0,2493,1714.743314
55.0,1075,1715.67337
325.0,2717,1717.997916
95.0,1561,1719.305226
210.0,2353,1721.330991
435.0,2879,1723.814082
800.0,5751,1728.6465
405.0,3173,1731.340265
375.0,3029,1733.900445
260.0,1923,1735.54231
50.0,1561,1736.853148
180.0,2371,1738.882013
95.0,1145,1739.845499
95.0,1059,1740.743751
145.0,2059,1742.539532
255.0,2111,1750.788808
190.0,2271,1752.70394
245.0,2819,1755.116606
185.0,1971,1756.766703
210.0,1797,1758.29593
170.0,1595,1759.657984
70.0,1527,1760.958094
235.0,1811,1762.524919
130.0,1429,1763.718972
350.0,2869,1766.19447
365.0,2765,1768.543922
150.0,1659,1769.957613
90.0,1327,1771.083515
240.0,3247,1773.870561
140.0,2059,1775.641053
170.0,2011,1777.384478
140.0,1919,1779.007863
205.0,1807,1780.538396
400.0,2249,1782.478851
270.0,2303,1784.448493
340.0,2967,1787.015148
70.0,1767,1788.505607
480.0,2667,1790.76454
65.0,1167,1791.760881
230.0,2071,1793.574813
195.0,1887,1795.21346
130.0,1909,1796.844458
255.0,2111,1798.615424
205.0,1659,1800.021348
165.0,1831,1801.601527
170.0,2277,1803.5555
365.0,2684,1805.856915
330.0,2785,1808.224698
210.0,1879,1809.806069
515.0,2647,1812.058355
215.0,1871,1813.658765
290.0,2757,1816.031644
